"imdb_id","genre_id"
"tt33244849",7
"tt14793910",7
"tt12497872",7
"tt2902646",7
"tt30644316",7
"tt26489336",7
"tt31152435",7
"tt1930486",7
"tt2959952",7
"tt2112285",7
"tt2285637",7
"tt1555923",7
"tt1987569",7
"tt35484031",7
"tt27118356",7
"tt32433566",7
"tt15850384",7
"tt2187548",7
"tt1774395",7
"tt11307426",7
"tt2285579",7
"tt21288390",7
"tt2551500",7
"tt1244859",7
"tt15309492",7
"tt5640576",7
"tt6870932",7
"tt10462650",7
"tt8483452",7
"tt16673330",7
"tt13540506",7
"tt8065796",7
"tt34662438",7
"tt6096424",7
"tt32809554",7
"tt26507543",7
"tt2773732",7
"tt27950276",7
"tt31382021",7
"tt37330944",7
"tt10661952",7
"tt3096088",7
"tt11469660",7
"tt7244754",7
"tt32546875",7
"tt34973251",7
"tt5931390",7
"tt21153722",7
"tt1989598",7
"tt6003786",7
"tt9537064",7
"tt1190160",7
"tt2343094",7
"tt11708788",7
"tt36704885",7
"tt1856678",7
"tt2156384",7
"tt35692592",7
"tt37595841",7
"tt13150254",7
"tt24015932",7
"tt35486475",7
"tt1444994",7
"tt2902612",7
"tt21968956",7
"tt27341149",7
"tt12881834",7
"tt16403870",7
"tt1507309",7
"tt5199156",7
"tt31079741",7
"tt1537878",7
"tt10640338",7
"tt2455388",7
"tt9818102",7
"tt11886132",7
"tt13429004",7
"tt1930467",7
"tt10495074",7
"tt10589924",7
"tt10356932",7
"tt3019458",7
"tt3168514",7
"tt6386008",7
"tt2187578",7
"tt29495329",7
"tt4277296",7
"tt1190149",7
"tt2773682",7
"tt1445099",7
"tt9033440",7
"tt7521752",7
"tt38286206",7
"tt32424407",7
"tt5886082",7
"tt32377620",7
"tt6503596",7
"tt9186300",7
"tt8983042",7
"tt31145807",7
"tt2773610",7
"tt4451550",7
"tt10652934",7
"tt14715098",7
"tt1693035",7
"tt11799764",7
"tt31502769",7
"tt30743567",7
"tt10428354",7
"tt8302976",7
"tt8747102",7
"tt10173962",7
"tt16533498",7
"tt10613684",7
"tt8060326",7
"tt11738520",7
"tt9481776",7
"tt28761983",7
"tt6486164",7
"tt11554776",7
"tt5891136",7
"tt33240854",7
"tt5946936",7
"tt14914930",7
"tt11886096",7
"tt2205448",7
"tt13580706",7
"tt31032534",7
"tt1229787",7
"tt2147199",7
"tt4231466",7
"tt23771728",7
"tt12224378",7
"tt32477473",7
"tt1791542",7
"tt2022362",7
"tt14056486",7
"tt1356800",7
"tt15092716",7
"tt11634350",7
"tt3108402",7
"tt1236966",7
"tt1718856",7
"tt10011002",7
"tt9916538",7
"tt12747222",7
"tt1233588",7
"tt1542452",7
"tt13938818",7
"tt13346994",7
"tt2451346",7
"tt29349309",7
"tt7277350",7
"tt2190357",7
"tt1718798",7
"tt36820596",7
"tt19366946",7
"tt13612172",7
"tt17887826",7
"tt6483040",7
"tt36553680",7
"tt6907856",7
"tt28632197",7
"tt3032182",7
"tt6426714",7
"tt18969072",7
"tt4522640",7
"tt18948502",7
"tt1462546",7
"tt15282170",7
"tt38671739",7
"tt14937820",7
"tt7268778",7
"tt1672847",7
"tt1507265",7
"tt1859466",7
"tt5774688",7
"tt2668926",7
"tt2187550",7
"tt7974204",7
"tt2285547",7
"tt2773768",7
"tt35668447",7
"tt14697622",7
"tt6908176",7
"tt30319570",7
"tt26696534",7
"tt8669070",7
"tt16970892",7
"tt23711548",7
"tt10656240",7
"tt18884826",7
"tt3956272",7
"tt11289634",7
"tt10640174",7
"tt19808286",7
"tt1445188",7
"tt2022376",7
"tt2022508",7
"tt10631062",7
"tt10773014",7
"tt10173670",7
"tt6966554",7
"tt1930391",7
"tt8842380",7
"tt24546804",7
"tt14632036",7
"tt14403244",7
"tt9789266",7
"tt1979169",7
"tt11646308",7
"tt6135096",7
"tt35268785",7
"tt1817710",7
"tt27687483",7
"tt3108436",7
"tt5264964",7
"tt2172015",7
"tt2343044",7
"tt1495793",7
"tt15433116",7
"tt5788244",7
"tt11107872",7
"tt13092762",7
"tt9209390",7
"tt1631693",7
"tt6786150",7
"tt10521192",7
"tt1445050",7
"tt8798274",7
"tt16311830",7
"tt30817467",7
"tt6135094",7
"tt36239566",7
"tt5211888",7
"tt21272520",7
"tt9590254",7
"tt4597234",7
"tt6486134",7
"tt1285114",7
"tt8359898",7
"tt25874946",7
"tt30320624",7
"tt6346314",7
"tt5917494",7
"tt2221743",7
"tt2455428",7
"tt2343134",7
"tt13968406",7
"tt28376705",7
"tt2187564",7
"tt7572744",7
"tt1537886",7
"tt3315330",7
"tt13642366",7
"tt6481234",7
"tt11644484",7
"tt7549874",7
"tt1301247",7
"tt6825826",7
"tt10870258",7
"tt15788948",7
"tt11912692",7
"tt2072940",7
"tt21111594",7
"tt10043746",7
"tt1431056",7
"tt5008712",7
"tt3239582",7
